#class tools::histo::h1d
#title Energy Deposition vs Z
#dimension 1
#axis fixed 300 -150 150
#annotation axis_x.title 
#bin_number 302
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
114,1292.37,20216.8,-193849,2.90764e+07
10,35.4811,612.106,-5267.45,781997
3,7.39005,52.4817,-1088.66,160375
17,52.7983,893.258,-7752.36,1.13828e+06
8,20.328,294.951,-2957.92,430408
10,18.8653,310.191,-2732.93,395906
14,22.2503,282.275,-3188.13,456810
10,17.5621,283.27,-2495.9,354713
10,27.0664,386.994,-3834.34,543191
15,34.0545,349.821,-4778.09,670400
10,68.496,1157.73,-9543.1,1.32958e+06
21,56.8309,823.616,-7870.73,1.09005e+06
5,0.3951,0.034082,-54.4272,7497.66
13,37.5505,549.913,-5130.92,701092
17,40.8785,611.66,-5551.14,753826
15,42.0909,599.84,-5665.34,762542
3,25.8768,359.525,-3452.02,460511
20,53.2629,744.665,-7058.72,935468
5,5.69809,29.6225,-748.14,98228.4
6,16.5198,263.426,-2153.34,280686
8,34.2733,572.187,-4439.35,575020
8,22.0025,298.993,-2831.72,364446
9,39.8455,569.757,-5077.58,647050
3,33.2647,446.062,-4216.89,534565
5,21.66,208.82,-2723.63,342485
1,4.38633,19.2399,-547.062,68229.3
18,70.176,981.406,-8670.24,1.07121e+06
12,50.501,589.581,-6201.36,761508
2,5.7568,16.9179,-700.795,85310.4
4,9.21848,22.044,-1112.09,134160
14,29.9324,280.639,-3584.22,429190
75,695.397,9606.9,-82164.9,9.70822e+06
8,33.9867,454.265,-3984.55,467144
15,54.9533,656.493,-6395.69,744360
4,61.696,953.954,-7129.92,823975
7,30.7506,345.917,-3517.22,402298
4,26.3821,356.876,-2989.23,338696
3,34.799,484.408,-3923.38,442339
4,40.5137,457.669,-4523.63,505095
7,40.3656,516.517,-4458.7,492505
11,81.7358,1099.58,-8958.59,981904
3,18.3439,233,-1982.9,214344
8,52.2233,730.973,-5604.05,601372
3,30.8009,471.242,-3285.28,350416
14,41.7681,502.942,-4412.02,466049
4,40.1448,516.364,-4193.5,438051
4,19.2765,207.866,-1999.92,207492
13,83.7283,985.529,-8577.07,878631
4,53.1558,717.417,-5396.4,547846
4,48.8553,646.395,-4912,493863
3,42.9182,614.293,-4265.91,424021
3,14.9452,201.063,-1478.87,146339
